compute CDER for magicdata-ramc
currently, compute dev set in 0.2 threshold mode
CTS-CN-F2F-2019-11-15-8 CDER = 0.049
CTS-CN-F2F-2019-11-15-9 CDER = 0.639
CTS-CN-F2F-2019-11-15-17 CDER = 0.305
CTS-CN-F2F-2019-11-15-26 CDER = 0.126
CTS-CN-F2F-2019-11-15-27 CDER = 0.148
CTS-CN-F2F-2019-11-15-37 CDER = 0.133
CTS-CN-F2F-2019-11-15-39 CDER = 0.074
CTS-CN-F2F-2019-11-15-45 CDER = 0.202
CTS-CN-F2F-2019-11-15-52 CDER = 0.140
CTS-CN-F2F-2019-11-15-53 CDER = 0.072
CTS-CN-F2F-2019-11-15-56 CDER = 0.142
CTS-CN-F2F-2019-11-15-65 CDER = 0.205
CTS-CN-F2F-2019-11-15-68 CDER = 0.127
CTS-CN-F2F-2019-11-15-73 CDER = 0.026
CTS-CN-F2F-2019-11-15-75 CDER = 0.094
CTS-CN-F2F-2019-11-15-77 CDER = 0.105
CTS-CN-F2F-2019-11-15-81 CDER = 0.273
CTS-CN-F2F-2019-11-15-82 CDER = 0.000
CTS-CN-F2F-2019-11-15-88 CDER = 0.074
CTS-CN-F2F-2019-11-15-91 CDER = 0.212
CTS-CN-F2F-2019-11-15-94 CDER = 0.382
CTS-CN-F2F-2019-11-15-100 CDER = 0.053
CTS-CN-F2F-2019-11-15-101 CDER = 0.291
CTS-CN-F2F-2019-11-15-105 CDER = 0.600
CTS-CN-F2F-2019-11-15-121 CDER = 0.170
CTS-CN-F2F-2019-11-15-123 CDER = 1.815
CTS-CN-F2F-2019-11-15-126 CDER = 0.041
CTS-CN-F2F-2019-11-15-128 CDER = 0.245
CTS-CN-F2F-2019-11-15-135 CDER = 0.171
CTS-CN-F2F-2019-11-15-138 CDER = 0.208
CTS-CN-F2F-2019-11-15-142 CDER = 0.220
CTS-CN-F2F-2019-11-15-144 CDER = 0.742
CTS-CN-F2F-2019-11-15-150 CDER = 0.121
CTS-CN-F2F-2019-11-15-151 CDER = 0.197
CTS-CN-F2F-2019-11-15-153 CDER = 0.292
Avg CDER : 0.271
currently, compute test set in 0.45 threshold mode
CTS-CN-F2F-2019-11-04-387 CDER = 0.648
CTS-CN-F2F-2019-11-11-193 CDER = 0.138
CTS-CN-F2F-2019-11-11-198 CDER = 0.355
CTS-CN-F2F-2019-11-11-390 CDER = 0.455
CTS-CN-F2F-2019-11-11-423 CDER = 0.022
CTS-CN-F2F-2019-11-11-431 CDER = 0.542
CTS-CN-F2F-2019-11-11-716 CDER = 0.096
CTS-CN-F2F-2019-11-15-3 CDER = 0.087
