compute CDER for magicdata-ramc
currently, compute dev set in 0.2 threshold mode
CTS-CN-F2F-2019-11-15-142 CDER = 0.200
CTS-CN-F2F-2019-11-15-144 CDER = 0.566
CTS-CN-F2F-2019-11-15-150 CDER = 0.111
CTS-CN-F2F-2019-11-15-151 CDER = 0.130
CTS-CN-F2F-2019-11-15-153 CDER = 0.238
Avg CDER : 0.157
currently, compute test set in 0.55 threshold mode
CTS-CN-F2F-2019-11-04-387 CDER = 0.307
CTS-CN-F2F-2019-11-11-193 CDER = 0.108
CTS-CN-F2F-2019-11-11-198 CDER = 0.197
CTS-CN-F2F-2019-11-11-390 CDER = 0.188
